map,Round,CT_EV,T_EV,Winside
de_mirage,1,4300,4300,T
de_mirage,2,5600,19200,T
de_mirage,3,1200,19800,T
de_mirage,4,19750,23200,CT
de_mirage,5,23250,23700,CT
de_mirage,7,30350,8100,CT
de_mirage,8,39450,18400,CT
de_mirage,9,30750,22250,T
de_mirage,10,28700,20850,CT
de_mirage,11,23050,20900,T
de_mirage,12,5750,20900,T
de_mirage,13,31200,12800,CT
de_mirage,14,29650,11650,T
de_mirage,15,19300,26300,T
de_mirage,16,4250,4250,T
de_mirage,17,6600,16200,T
de_mirage,18,5150,17650,CT
de_mirage,19,27900,16700,CT
de_mirage,20,13400,15300,CT
de_mirage,21,24700,17250,T
de_mirage,22,5050,23600,CT
de_mirage,23,28200,21850,CT
de_mirage,24,25250,8850,CT
de_mirage,25,30150,7800,CT
de_mirage,26,33700,14200,CT
de_mirage,27,19050,25550,T
de_mirage,28,5000,24300,T
de_mirage,29,23100,26250,T
de_mirage,30,15150,26450,T